Stkcd,1997/1/1,1997/2/1,1997/3/1,1997/4/1,1997/5/1,1997/6/1,1997/7/1,1997/8/1,1997/9/1,1997/10/1,1997/11/1,1997/12/1,1998/1/1,1998/2/1,1998/3/1,1998/4/1,1998/5/1,1998/6/1,1998/7/1,1998/8/1,1998/9/1,1998/10/1,1998/11/1,1998/12/1,1999/1/1,1999/2/1,1999/3/1,1999/4/1,1999/5/1,1999/6/1,1999/7/1,1999/8/1,1999/9/1,1999/10/1,1999/11/1,1999/12/1,2000/1/1,2000/2/1,2000/3/1,2000/4/1,2000/5/1,2000/6/1,2000/7/1,2000/8/1,2000/9/1,2000/10/1,2000/11/1,2000/12/1,2001/1/1,2001/2/1,2001/3/1,2001/4/1,2001/5/1,2001/6/1,2001/7/1,2001/8/1,2001/9/1,2001/10/1,2001/11/1,2001/12/1,2002/1/1,2002/2/1,2002/3/1,2002/4/1,2002/5/1,2002/6/1,2002/7/1,2002/8/1,2002/9/1,2002/10/1,2002/11/1,2002/12/1,2003/1/1,2003/2/1,2003/3/1,2003/4/1,2003/5/1,2003/6/1,2003/7/1,2003/8/1,2003/9/1,2003/10/1,2003/11/1,2003/12/1,2004/1/1,2004/2/1,2004/3/1,2004/4/1,2004/5/1,2004/6/1,2004/7/1,2004/8/1,2004/9/1,2004/10/1,2004/11/1,2004/12/1,2005/1/1,2005/2/1,2005/3/1,2005/4/1,2005/5/1,2005/6/1,2005/7/1,2005/8/1,2005/9/1,2005/10/1,2005/11/1,2005/12/1,2006/1/1,2006/2/1,2006/3/1,2006/4/1,2006/5/1,2006/6/1,2006/7/1,2006/8/1,2006/9/1,2006/10/1,2006/11/1,2006/12/1,2007/1/1,2007/2/1,2007/3/1,2007/4/1,2007/5/1,2007/6/1,2007/7/1,2007/8/1,2007/9/1,2007/10/1,2007/11/1,2007/12/1,2008/1/1,2008/2/1,2008/3/1,2008/4/1,2008/5/1,2008/6/1,2008/7/1,2008/8/1,2008/9/1,2008/10/1,2008/11/1,2008/12/1,2009/1/1,2009/2/1,2009/3/1,2009/4/1,2009/5/1,2009/6/1,2009/7/1,2009/8/1,2009/9/1,2009/10/1,2009/11/1,2009/12/1,2010/1/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2010/10/1,2010/11/1,2010/12/1,2011/1/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/1,2011/11/1,2011/12/1,2012/1/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2012/10/1,2012/11/1,2012/12/1,2013/1/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2013/10/1,2013/11/1,2013/12/1,2014/1/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1
300244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147497,-0.113553,0.054846,-0.117165,0.125454,0.040502,0.104375,0.023082,0.123171,0.318946,-0.034853,0.277778,-0.06087,0.330787,0.001913,0.072917,-0.050647,0.07278,-0.039561,0.270471,-0.087109,0.038939,0.02442,-0.054147,0.014251,0.035961,0.009885,,,0.265878,0.294551,0.139881,0.733721,0.120611,-0.315055,-0.101144,-0.265871,0.250948,0.149517,-0.063402,-0.067828,-0.237849,-0.150377,0.249167,0.007822,0.001723,0.047317,-0.066707,0.089344,-0.049806,0.025738,0.115973,-0.122566,-0.046875,-0.005246,0.022413,-0.051902,-0.011221,0.082725,-0.142085,0.016302,-0.06708,0.102775,-0.0854,-0.084851,-0.071973,-0.086679,0.28971,-0.088304,-0.098556,-0.103041,0.012625,-0.056623,-0.002203,-0.086093,-0.00785
300245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04557,0.101695,-0.06044,-0.05614,0.258984,-0.057087,0.06785,-0.046921,-0.018462,0.38767,-0.037651,0.107822,-0.044808,0.092331,-0.023177,0.167481,-0.140466,0.558415,0.197233,0.054789,-0.109541,0.114286,-0.005216,0.342056,-0.066852,0.007836,-0.101814,-0.030503,-0.256803,0.267735,0.250451,0.302779,-0.069252,0.635165,-0.337801,-0.120611,-0.193048,0.318394,0.232671,0.012536,0.486735,-0.452772,-0.178261,0.306349,-0.111381,-0.001997,0.015554,-0.108559,0.048004,-0.036162,0.023012,0.070905,-0.218721,-0.008182,0.010607,-0.040816,-0.11307,-0.026045,-0.014912,-0.084588,0.103367,0.080199,-0.024967,-0.067385,0.001445,-0.087302,-0.002372,0.084786,0.034332,-0.149718,-0.147011,-0.040196,-0.067416,-0.021906,-0.027996,0.003456
300246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057924,-0.018251,0.126259,-0.105915,0.179231,0.095238,0.055986,0.128032,0.1525,0.287635,-0.143148,0.110847,0.022096,0.628312,-0.25439,0.201608,-0.116635,0.088203,0.155644,0.026678,-0.038977,-0.062818,0.20709,-0.103168,-0.019388,0.310633,0.188401,-0.16897,-0.270197,0.163256,0.161935,0.352374,0.513995,-0.10009,-0.17757,-0.415455,-0.180016,0.064486,0.527394,0.001458,0.202679,-0.349879,-0.175047,0.209481,0.109742,0.072318,-0.047679,0.240417,0.071809,-0.087593,0.057384,-0.031379,-0.114711,-0.037193,0.026791,-0.073119,-0.08347,-0.063929,0.045392,-0.113711,0.057343,0.04682,-0.058144,-0.079937,-0.112258,-0.128391,-0.05114,0.127124,-0.030665,0.182306,-0.256236,-0.130871,-0.065447,-0.048946,-0.114014,0.076854
300247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04034,-0.020408,-0.059375,-0.09856,0.223587,-0.049197,0.176346,-0.095153,0.036706,0.151196,-0.199502,0.090343,0.104286,0.494178,-0.082251,0.154717,-0.045752,0.171233,0.231725,-0.131157,0.040301,,0.103743,-0.013087,0.261373,0.042553,-0.024119,-0.029468,-0.170421,,,0.57497,0.003748,0.633308,-0.263832,-0.240944,-0.204918,0.256701,0.727646,-0.01472,,,,-0.098313,-0.096206,-0.023697,0.007282,0.206024,0.080919,-0.127542,0.051907,-0.065458,-0.118534,-0.057457,0.103761,-0.098707,-0.045632,-0.101093,0.016643,-0.073574,0.004862,0.054839,-0.038226,-0.136725,0.034991,-0.094306,0.023576,0.017274,0.015094,0.052045,-0.100889,-0.041502,-0.082474,-0.134831,-0.085714,0.096591
300248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057312,0.076636,-0.034722,-0.089928,0.146245,0.112931,0.059644,-0.153509,-0.1019,0.236922,0.047022,0.106287,0.048714,-0.007742,-0.096229,,,0.179856,0.621951,-0.116165,-0.065504,0.186024,0.075879,-0.068234,0.302154,0.354442,0.224703,-0.095727,,,0.442659,0.979217,0.084603,0.276986,-0.35949,-0.229582,-0.412411,0.110011,0.341923,0.470458,-0.067052,-0.332436,0.075,0.114029,-0.119192,-0.019113,0.050773,-0.109996,0.008768,-0.047185,0.00391,0.128516,0.093175,-0.260961,0.044139,-0.054545,-0.196635,-0.143028,0.133107,0.016079,0.029215,0.014784,-0.101981,-0.08501,-0.049645,-0.046269,-0.091549,0.160207,-0.032665,-0.101558,-0.207254,-0.035948,-0.083051,0.009242,-0.091575,0.215726
300249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000819,-0.036885,-0.132766,0.172719,0.094561,0.047401,-0.049635,0.028418,0.126376,-0.196262,0.224253,-0.031208,0.095238,0.153453,0.191796,-0.179535,0.010204,,,0.176206,-0.016221,0.050436,0.00554,0.090909,0.191919,-0.056497,0.268713,-0.339233,0.121429,0.226911,0.251136,0.068465,0.700076,,,-0.566571,-0.026368,0.331754,0.336553,0.076075,-0.32485,0.10733,0.258629,-0.00526,-0.165406,0.118913,0.097166,0.27214,-0.000725,0.124819,-0.031613,-0.09527,-0.065538,0.023641,0.08545,-0.039007,-0.101107,0.116585,-0.094853,-0.012185,0.004112,-0.005733,-0.195222,-0.204708,-0.131274,-0.031111,0.417431,-0.168285,-0.081712,-0.084746,0.068918,0,-0.046377,-0.085106,0.018272
300250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025298,0.014514,-0.127325,0.098361,0.038806,0.060345,-0.112466,-0.01374,0.197832,0.020169,0.243622,-0.042051,0.027302,-0.041167,,0.1,0.161067,0.178723,-0.277978,-0.0275,0.167064,0.168664,-0.039119,0.147036,0.04583,-0.033278,0.645876,-0.142473,0.360541,-0.006567,0.002501,0.115666,0.413738,-0.303607,-0.246591,,,0.229907,0.331465,0.047237,-0.266239,-0.260103,0.278871,-0.049584,0.069307,0.055066,-0.080433,0.062477,0.002767,-0.041049,0.240647,-0.070745,-0.19532,0.034509,-0.125937,-0.172384,-0.140871,0.072039,-0.138383,0.1269,0.170088,-0.15188,-0.091608,-0.003253,-0.116188,-0.022895,0.238851,0.00061,-0.217901,-0.035573,0.015574,-0.038741,-0.050378,-0.017684,0.09541
300251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09589,-0.012554,-0.119246,0.741663,-0.143755,0.100467,0.236882,0.477834,0.077086,0.046078,0.197751,-0.046688,0.771272,-0.381681,0.074194,-0.149302,0.38327,-0.195652,,,,0.092378,-0.16321,0.078664,0.045455,-0.023889,-0.068527,0.242249,0.139171,0.060156,0.135902,-0.021893,0.33575,-0.234351,0.132129,-0.156084,0.155528,-0.085122,0.183698,0.017467,-0.336415,-0.072139,0.235925,0.104989,-0.05045,-0.039867,-0.046713,0.017241,-0.032114,0.009217,0.042009,-0.14461,0.092213,-0.077861,-0.045778,-0.081023,-0.055684,0.010905,0.101343,-0.027716,0.247434,-0.113346,-0.038144,0.120043,0.240191,-0.035494,0.0288,-0.099533,-0.048215,-0.05915,-0.037328,-0.17449,-0.037083,-0.101412,0.031429
300252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038495,-0.035487,-0.157547,0.160135,0.362934,0.107649,0.168798,0.045952,0.380753,-0.167045,0.03803,0.031434,-0.048254,0.185457,0.138436,-0.109244,0.058824,0.205451,-0.17913,0.134534,0.148459,0.110976,-0.01505,0.023818,0.283897,0.276331,-0.037267,,-0.050922,0.188638,0.279616,0.313807,0.824042,-0.338833,-0.392992,-0.203488,0.306569,0.488428,-0.02252,0.108064,-0.436881,-0.128791,0.421796,-0.008162,0.037567,0.145212,-0.063085,0.063466,0.085126,-0.013121,-0.053465,-0.112074,-0.067654,0.00722,-0.054122,-0.175824,,,-0.12568,0.098837,0.151034,-0.193899,-0.111457,-0.030922,-0.206502,0.066009,0.129537,0.032136,-0.181929,-0.115512,-0.028666,0.118048,-0.026396,-0.141814,0.122722
300253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034533,0.020151,-0.007901,0.096068,0.048138,0.072357,-0.044444,0.085835,0.45327,0.089933,0.458621,-0.105032,0.105094,-0.059245,0.25245,0.052166,0.274756,0.22299,-0.028269,-0.289856,0.039497,,,0.143104,-0.0654,0.092379,0.437421,0.029122,0.314849,0.1425,0.551708,0.072107,0.016738,-0.268327,-0.174038,-0.243539,0.028316,0.342412,-0.024972,-0.042305,-0.324737,-0.049151,0.216065,-0.114766,0.091174,0.097778,-0.069636,0.013925,-0.064378,0.019266,0.054905,-0.164249,-0.055641,0.032973,-0.064364,-0.055369,-0.132372,0.016927,-0.055058,0.081301,-0.033835,-0.042802,-0.055556,-0.037303,0.153502,0.189922,0.334419,0.081367,-0.004904,-0.062074,0.008878,0.024,0.126562,-0.10957,-0.053738
300254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001184,-0.001182,-0.106509,0.14702,0.016166,0.088636,-0.04071,-0.027203,0.205817,-0.092764,0.219545,0.215072,-0.038327,-0.019565,,,0.209165,0.35269,-0.019882,-0.160443,0.009357,0.167396,-0.080131,0.165563,0.214598,0.146096,0.350078,-0.406047,0.167189,0.014425,0.174934,0.081058,0.372299,-0.216932,-0.231441,-0.231439,0.267127,0.414236,-0.133388,0.11774,-0.390687,-0.068966,0.086086,0.100922,-0.125576,0.218765,-0.087597,0.05176,-0.016732,0.097097,-0.054745,-0.069015,-0.050285,0.023472,-0.0016,-0.099893,-0.156083,0.002912,-0.121042,0.032026,0.05353,-0.083947,-0.121383,-0.056725,-0.078565,-0.09579,0.157159,-0.065392,0.091496,-0.095661,-0.095228,-0.086061,0.015915,-0.13577,0.083082
300255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035863,-0.036332,0.017056,0.089144,0.225284,0.081349,0.142508,-0.030514,0.039757,0.001458,0.242537,0.179751,-0.021818,-0.095911,-0.006168,0.096814,0.08261,-0.171429,-0.070227,0.149254,0.041716,0.064979,-0.098971,-0.033465,0.152749,0.009187,0.015406,0.218965,0.010467,-0.036394,0.31871,0.174487,0.347111,0.210251,-0.526937,-0.146772,-0.006424,0.417385,-0.086163,-0.028841,-0.110794,-0.176622,0.217629,-0.053405,-0.011002,0.025958,-0.044578,0.102144,-0.056064,0.048485,0.019653,-0.104308,-0.04557,0.05305,-0.055416,0.057333,0.094578,0.00397,-0.078161,0.024938,0.07056,-0.1375,-0.044796,-0.126897,0.00158,-0.009464,0.041401,-0.001529,-0.07657,-0.099308,-0.025878,-0.074004,-0.059426,-0.076253,0.018868
300256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.169615,0.146617,-0.073224,0.28066,0.161142,0.360825,-0.300699,0.091667,-0.00687,,,-0.166795,0.116236,0.014876,0.216613,-0.114458,0.13681,0.079122,-0.186691,0.133333,0.006016,-0.028571,-0.015048,0.095833,0.069708,,,-0.121445,0.045179,0.082581,0.271156,0.363807,0.097628,-0.283433,-0.222028,-0.18427,0.15427,0.202267,0.325062,-0.056929,-0.243447,0.112861,0.132547,-0.10454,0.202791,0.401392,-0.210817,0.102098,-0.111041,0.036403,-0.028926,-0.159574,0,0.039662,-0.090097,-0.054416,-0.004717,-0.014218,-0.101923,0.066381,0.019032,-0.059289,0.072479,-0.109696,-0.163916,-0.107895,0.060472,-0.020863,0.044872,-0.143149,-0.023866,-0.141809,-0.022792,-0.113703,0.098684
300257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004922,0.022449,0.131737,0.216931,0.088406,0.065246,0.01225,0.0694,0.300231,-0.108662,0.166817,-0.045243,-0.037368,-0.035162,0.072595,0.046752,0.084394,-0.034962,-0.158561,-0.056326,-0.0125,0.002848,0.125412,0.045042,-0.001355,-0.074104,0.086192,-0.049933,0.127273,0.106099,0.221235,0.119403,,-0.187172,0.083884,-0.268014,-0.177083,0.208228,0.255631,0.287025,-0.491086,-0.140764,0.319496,-0.173034,-0.04212,0.171631,-0.020581,-0.011743,-0.068793,0.077233,0.031796,0.036858,0.140443,0.072049,0.043375,-0.026953,-0.128858,0.14503,-0.067362,-0.023398,-0.007813,-0.08294,-0.107041,,0.142857,0.03625,-0.039204,0.084746,0.059028,-0.159679,-0.030739,-0.198381,-0.079966,-0.172004,0.155801
300258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173061,-0.024356,-0.019258,0.148364,0.031032,0.019042,-0.097046,-0.102804,0.198362,-0.209337,0.005714,0.048295,-0.009937,0.139599,0.104884,-0.069565,0.092679,-0.046329,-0.084454,-0.022041,0.058431,0.123525,0.021307,0.119611,0.124224,0.074586,0.058098,-0.161322,0.008691,0.088455,0.207916,0.063783,0.339863,-0.281423,-0.053376,-0.211277,0.067183,0.224375,0.01648,0.157588,-0.30084,-0.05609,0.222411,0.159722,0.289222,0.13136,-0.054455,-0.004581,-0.048652,0.079475,-0.046735,-0.015447,-0.042292,0.099003,0.111471,-0.031487,-0.088545,0.097739,0.027862,-0.031821,-0.00426,-0.036064,-0.034876,-0.015112,-0.06938,0.081004,0.01061,-0.05643,0.005301,-0.040474,0.020364,-0.065574,0.011442,-0.131976,0.049522
300259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091418,0.113675,-0.219493,0.243854,0.137549,0.084781,-0.109545,0.01223,0.33973,-0.220255,-0.031224,0.246819,0.017007,0.028094,0.111906,0.076653,0.059783,0.020513,-0.09598,-0.132296,0.022015,0.041667,-0.026364,0.140056,0.242424,-0.014502,0.088294,-0.210203,0.132296,0.082474,0.260317,0.183879,0.414868,-0.225641,-0.189404,-0.35049,0.057862,0.19025,0.088911,0.182569,-0.411947,-0.055409,0.276536,0.060175,0.041501,0.25422,-0.123515,0.086721,-0.076475,0.048605,-0.018026,-0.094406,0.004826,0.023055,0.03662,-0.011775,-0.00275,-0.017328,-0.034709,0.014577,0.017241,-0.001883,-0.110377,0.012725,-0.08377,0.036571,0.186329,-0.074349,-0.118578,-0.065823,-0.00542,-0.117166,-0.009259,-0.214953,0.099206
300260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.135317,0.125416,0.260355,-0.083725,0.040991,-0.111567,-0.058172,0.154902,-0.214771,0.238677,-0.089161,0.078695,0.258897,0.191519,-0.136418,0.068681,0.023136,-0.14196,-0.036603,0.097264,0.131579,-0.037671,0.074475,0.167061,-0.03401,0.031529,-0.210392,0.094839,0.09723,0.314715,0.102533,0.419785,-0.115866,-0.291686,-0.140951,-0.06699,0.337149,0.21323,0.087235,-0.341888,-0.036307,0.298139,0.059477,0.050051,0.154911,-0.179866,0.092146,0.017746,0.015907,0.071364,-0.056773,-0.083135,0.075723,-0.06435,-0.114627,-0.033917,0.007886,-0.082459,0.086601,0.015038,0.068889,,,-0.162855,-0.012417,0.246438,0.109617,-0.084849,0.104039,0.261261,-0.483333,0.028571,-0.151434,-0.004224
300261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.030357,-0.191528,0.256644,-0.041088,0.072464,0.022327,-0.066667,0.073044,-0.220056,0.095238,0.057609,0.053443,0.054634,0.287697,-0.130747,-0.052893,0.016579,-0.048069,0.049594,0.231086,0.081967,0.094276,0.067692,0.145533,0.003774,0.028822,-0.214982,0.21024,0.044872,0.134969,0.129189,0.427956,-0.205498,-0.32446,-0.025244,-0.059315,,,0.34103,-0.082781,0.00361,0.18705,-0.003636,-0.105839,0.077717,-0.064914,-0.002636,0.01674,0.02253,-0.016102,-0.167097,-0.03516,0.069668,-0.018036,-0.060204,-0.018458,0.031046,-0.010776,0.014161,0.033297,-0.015593,-0.038015,-0.035126,-0.069397,-0.045232,0.037132,-0.02963,0.091603,-0.155595,0.070981,-0.095517,0.021552,0.029536,0.041132
300262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048177,-0.07764,0.528619,-0.012335,0.184211,-0.080979,-0.00082,0.202322,-0.142077,0.095541,-0.084302,0.100794,0.147801,0.103015,-0.146355,0.059373,-0.02267,-0.068943,-0.104498,0.015076,0.202136,-0.066624,0.031271,0.102175,0,0.139952,0.09234,0.054275,0.234169,0.078996,0.089976,0.051475,-0.226221,-0.00973,,,,0.115175,-0.091043,-0.21594,0.096154,-0.066416,-0.034899,-0.014604,0.081157,0.077676,0.125984,0.011296,-0.071809,0.012034,-0.037373,-0.062353,0.040151,0.007238,0.066467,-0.116788,-0.034329,-0.114621,0.080357,-0.008264,0.051042,-0.116947,0.016835,-0.015453,-0.115471,-0.008872,-0.095908,-0.074965,-0.207951,0.055985,-0.058501,-0.007767,-0.158513,0.106977
300263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003721,-0.102873,0.100206,0.068545,0.101933,0.061404,0.129977,,0.099069,0.209982,0.054829,0.161183,0.106776,0.033395,0.023339,0.137544,0.130783,-0.203492,-0.079883,0.024701,0.113952,-0.133115,0.092284,0.166897,-0.08724,0.239272,-0.064533,-0.051038,0.14539,0.103715,0.487144,0.085781,-0.353623,-0.2713,,,0.267077,-0.014085,0.423645,-0.44083,-0.133663,0.169286,0.136225,-0.022581,0.232213,-0.266547,0.081707,-0.072153,-0.021871,0.013665,-0.096814,-0.063772,0.026087,-0.050847,-0.022321,-0.006088,0.263429,-0.072816,0.153141,0.043133,-0.129489,0.055,-0.149289,-0.114206,-0.086478,0.051635,-0.03437,0.006793,-0.116357,-0.022901,-0.048828,0.004107,-0.130879,0.011765
